company_name,industry,symbol,Series,sector,ticker,f&o,Include,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reliance Industries Limited,Oil & Gas Refining & Marketing,RELIANCE,EQ,Energy,RELIANCE.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDFC Bank Limited,Banks - Regional,HDFCBANK,EQ,Financial Services,HDFCBANK.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharti Airtel Limited,Telecom Services,BHARTIARTL,EQ,Communication Services,BHARTIARTL.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Bank of India,Banks - Regional,SBIN,EQ,Financial Services,SBIN.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICI Bank Limited,Banks - Regional,ICICIBANK,EQ,Financial Services,ICICIBANK.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Consultancy Services Limited,Information Technology Services,TCS,EQ,Technology,TCS.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Finance Limited,Credit Services,BAJFINANCE,EQ,Financial Services,BAJFINANCE.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larsen & Toubro Limited,Engineering & Construction,LT,EQ,Industrials,LT.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindustan Unilever Limited,Household & Personal Products,HINDUNILVR,EQ,Consumer Defensive,HINDUNILVR.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Insurance Corporation Of India,Insurance - Life,LICI,EQ,Financial Services,LICI.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infosys Limited,Information Technology Services,INFY,EQ,Technology,INFY.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Pharmaceutical Industries Limited,Drug Manufacturers - Specialty & Generic,SUNPHARMA,EQ,Healthcare,SUNPHARMA.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani Power Limited,Utilities,ADANIPOWER,EQ,Utilities,ADANIPOWER.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maruti Suzuki India Limited,Auto Manufacturers,MARUTI,EQ,Consumer Cyclical,MARUTI.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adani Ports and Special Economic Zone Limited,Marine Shipping,ADANIPORTS,EQ,Industrials,ADANIPORTS.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titan Company Limited,Luxury Goods,TITAN,EQ,Consumer Cyclical,TITAN.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra & Mahindra Limited,Auto Manufacturers,M&M,EQ,Consumer Cyclical,M&M.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Limited,Banks - Regional,AXISBANK,EQ,Financial Services,AXISBANK.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPC Limited,Utilities,NTPC,EQ,Utilities,NTPC.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC Limited,Consumer Defensive,ITC,EQ,Consumer Defensive,ITC.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotak Mahindra Bank Limited,Banks - Regional,KOTAKBANK,EQ,Financial Services,KOTAKBANK.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UltraTech Cement Limited,Building Materials,ULTRACEMCO,EQ,Basic Materials,ULTRACEMCO.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil & Natural Gas Corporation Limited,Energy,ONGC,EQ,Energy,ONGC.NS,F&O,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
