Industry,avg_rs_3m,avg_rs_6m,avg_daily_score,avg_weekly_score,avg_combined_score,stock_count,actionable_daily,actionable_weekly,strong_combined,rs_score,rs_rank,current_rank,prev_rank,prev_avg_combined_score,prev_rs_rank,prev_strong_combined,prev_actionable_daily,prev_actionable_weekly,rank_change,combined_score_change,strong_combined_change,actionable_daily_change,actionable_weekly_change,new_cluster
Energy,22.53625,14.530000000000001,25.775,41.61875,32.90375,8,0,1,0,18.533125,85.71428571428571,1,1,32.94375,85.71428571428571,0,0,1,0,-0.04,0,0,0,False
Utilities - Renewable,20.32,8.290000000000001,23.490000000000002,43.26857142857143,32.39142857142857,7,0,1,0,14.305,71.42857142857143,2,2,32.22714285714286,80.35714285714286,0,0,1,0,0.16,0,0,0,False
Technology,34.60333333333333,19.298333333333332,19.726666666666667,47.60666666666666,32.27333333333333,6,0,2,0,26.950833333333332,94.64285714285714,3,4,32.10166666666667,96.42857142857144,0,0,2,1,0.17,0,0,0,False
Steel,21.538918918918917,19.762972972972975,24.722162162162164,40.18432432432432,31.680270270270274,37,0,9,0,20.650945945945946,87.5,4,6,31.18432432432432,87.5,0,0,8,2,0.5,0,0,1,False
Tools & Accessories,16.544,14.998000000000001,24.546,39.498000000000005,31.274,5,0,2,0,15.771,73.21428571428571,5,5,31.652,73.21428571428571,0,0,2,0,-0.38,0,0,0,False
Communication Equipment,63.415,62.22166666666667,27.540000000000003,35.29833333333333,31.03333333333333,6,0,1,0,62.818333333333335,100.0,6,7,29.988333333333333,100.0,0,0,1,1,1.04,0,0,0,False
Diagnostics & Research,23.548333333333332,12.520000000000001,31.348333333333333,29.336666666666662,30.444999999999997,6,0,1,0,18.034166666666668,83.92857142857143,7,3,32.156666666666666,83.92857142857143,0,0,1,-4,-1.71,0,0,0,False
Electrical Equipment & Parts,29.881999999999998,23.4948,24.9552,36.0312,29.9396,25,0,5,0,26.6884,92.85714285714286,8,8,28.5892,92.85714285714286,0,0,4,0,1.35,0,0,1,False
Medical Care Facilities,14.458461538461538,6.353076923076923,18.5,40.841538461538455,28.55461538461538,13,0,3,0,10.40576923076923,60.71428571428571,9,13,27.303846153846152,58.92857142857143,0,0,3,4,1.25,0,0,0,False
Textile Manufacturing,18.61,15.620000000000001,25.364615384615384,32.44615384615385,28.552307692307693,13,0,2,0,17.115000000000002,82.14285714285714,10,12,27.43,78.57142857142857,0,0,2,2,1.12,0,0,0,False
Electronic Components,20.467142857142857,12.344285714285714,23.642857142857142,34.04857142857143,28.32428571428571,7,0,2,0,16.405714285714286,76.78571428571429,11,11,27.69857142857143,71.42857142857143,0,0,2,0,0.63,0,0,0,False
Utilities,17.468125,16.069375,24.28,33.2525,28.318125,16,0,3,0,16.76875,80.35714285714286,12,10,28.256875,82.14285714285714,0,0,3,-2,0.06,0,0,0,False
Drug Manufacturers - Specialty & Generic,23.21723404255319,18.482340425531913,22.512978723404252,34.65021276595745,27.97531914893617,47,0,12,0,20.84978723404255,89.28571428571429,13,9,28.30659574468085,89.28571428571429,0,0,12,-4,-0.33,0,0,0,False
Marine Shipping,20.987142857142857,40.597142857142856,27.81714285714286,27.057142857142857,27.474285714285713,7,0,0,0,30.792142857142856,98.21428571428571,14,14,26.99285714285714,98.21428571428572,0,0,0,0,0.48,0,0,0,False
Basic Materials,9.879999999999999,15.745000000000001,23.486428571428572,31.954285714285714,27.29714285714286,14,0,1,0,12.8125,64.28571428571429,15,16,25.01928571428571,64.28571428571429,0,0,1,1,2.28,0,0,0,False
Specialty Industrial Machinery,22.948857142857143,20.993142857142857,20.130857142857145,35.556285714285714,27.07257142857143,35,0,11,0,21.971,91.07142857142857,16,15,26.43914285714286,91.07142857142856,0,0,11,-1,0.63,0,0,0,False
Healthcare,9.77125,3.515,20.845,26.26875,23.28625,8,0,2,0,6.643125,48.214285714285715,17,18,22.945,51.78571428571429,0,0,2,1,0.34,0,0,0,False
Asset Management,8.223571428571429,5.857857142857143,16.167142857142856,30.569999999999997,22.649285714285714,14,0,3,0,7.0407142857142855,53.57142857142857,18,17,23.86428571428572,53.57142857142857,0,0,3,-1,-1.22,0,0,0,False
Specialty Chemicals,17.297755102040817,9.569183673469388,17.96938775510204,27.169183673469387,22.109795918367343,49,0,7,0,13.433469387755103,66.07142857142857,19,19,21.899183673469388,66.07142857142857,0,0,7,0,0.21,0,0,0,False
Drug Manufacturers - General,15.905714285714286,17.00142857142857,15.33,28.38,21.20285714285714,7,0,1,0,16.45357142857143,78.57142857142857,20,20,20.662857142857145,76.78571428571429,0,0,1,0,0.54,0,0,0,False
Biotechnology,19.641428571428573,-4.47,14.822857142857144,27.655714285714286,20.59714285714286,7,0,1,0,7.585714285714287,57.14285714285714,21,27,18.128571428571423,42.85714285714285,0,0,1,6,2.47,0,0,0,False
Aerospace & Defense,21.549166666666665,11.066666666666668,12.366666666666667,30.049166666666668,20.324166666666667,12,0,3,0,16.307916666666667,75.0,22,21,20.28333333333333,75.0,0,0,3,-1,0.04,0,0,0,False
Packaged Foods,7.604166666666667,6.585416666666667,18.451249999999998,20.91541666666667,19.56083333333333,24,0,0,0,7.0947916666666675,55.35714285714286,23,26,18.7375,57.14285714285714,0,0,0,3,0.82,0,0,0,False
Auto Parts,5.013265306122449,8.47877551020408,14.84734693877551,25.295714285714286,19.549183673469386,49,0,5,0,6.746020408163265,51.78571428571429,24,22,19.186326530612245,50.0,0,0,5,-2,0.36,0,0,0,False
Chemicals,18.274285714285714,3.204285714285714,14.059285714285716,25.58857142857143,19.24642857142857,14,0,1,0,10.739285714285714,62.5,25,25,18.88214285714286,60.71428571428571,0,0,1,0,0.36,0,0,0,False
Financial Services,13.720769230769232,13.70923076923077,16.495384615384616,20.974615384615387,18.51076923076923,13,0,0,0,13.715,67.85714285714286,26,23,19.001538461538463,69.64285714285714,0,0,0,-3,-0.49,0,0,0,False
Metal Fabrication,26.888461538461538,28.463846153846156,12.86846153846154,24.645384615384614,18.169230769230772,13,0,0,0,27.676153846153845,96.42857142857143,27,28,18.093846153846155,94.64285714285714,0,0,0,1,0.08,0,0,0,False
Conglomerates,9.165555555555555,2.29,8.274444444444445,29.77333333333333,17.948888888888888,18,0,3,0,5.727777777777778,42.857142857142854,28,24,18.934444444444445,44.642857142857146,0,0,3,-4,-0.99,0,0,0,False
Capital Markets,9.506,-2.2079999999999997,14.401,21.922,17.785999999999998,10,0,0,0,3.649,32.142857142857146,29,29,17.554,30.35714285714285,0,0,0,0,0.23,0,0,0,False
Consumer Defensive,7.15764705882353,0.8464705882352943,11.629999999999999,21.663529411764703,16.14529411764706,17,0,0,0,4.002058823529412,35.714285714285715,30,30,16.586470588235294,41.07142857142857,0,0,0,0,-0.44,0,0,0,False
Credit Services,3.925,4.209,13.135666666666667,19.483,15.991999999999999,30,0,1,0,4.067,37.5,31,31,16.255666666666666,39.285714285714285,0,0,1,0,-0.26,0,0,0,False
Engineering & Construction,9.019117647058822,-2.479411764705882,10.018529411764705,22.480882352941176,15.627352941176472,34,0,2,0,3.2698529411764703,30.357142857142854,32,32,15.721176470588237,33.92857142857143,0,0,2,0,-0.09,0,0,0,False
Agricultural Inputs,7.419499999999999,2.5445,9.3155,23.072,15.506,20,0,2,0,4.981999999999999,41.07142857142857,33,33,15.6415,48.21428571428572,0,0,2,0,-0.14,0,0,0,False
Apparel Manufacturing,1.8630000000000002,-8.376000000000001,10.125,20.066,14.597999999999999,10,0,1,0,-3.2565000000000004,12.5,34,34,14.474,14.285714285714285,0,0,1,0,0.12,0,0,0,False
Banks - Regional,2.9909677419354836,10.30967741935484,13.783870967741937,14.373225806451613,14.049354838709677,31,0,0,0,6.650322580645161,50.0,35,40,12.938064516129032,55.35714285714286,0,0,0,5,1.11,0,0,0,False
Auto Manufacturers,0.0211111111111114,1.7744444444444443,15.454444444444444,11.351111111111111,13.60888888888889,9,0,0,0,0.8977777777777778,26.785714285714285,36,46,12.054444444444444,23.214285714285715,0,0,0,10,1.55,0,0,0,False
