Industry,avg_rs_3m,avg_rs_6m,avg_daily_score,avg_weekly_score,avg_combined_score,stock_count,actionable_daily,actionable_weekly,strong_combined,rs_score,rs_rank,current_rank
Mortgage Finance,5.866,14.342000000000002,34.194,55.14300000000001,43.620999999999995,10,0,4,0,10.104000000000001,46.42857142857143,1
Medical Care Facilities,9.681538461538462,20.69076923076923,37.28769230769231,48.48076923076923,42.324615384615385,13,1,8,0,15.186153846153847,67.85714285714286,2
Communication Equipment,52.44833333333333,149.07666666666668,33.46666666666666,51.88999999999999,41.75666666666667,6,0,2,0,100.7625,100.0,3
Banks - Regional,5.917419354838709,17.231935483870966,38.317419354838705,42.19096774193549,40.060967741935485,31,0,7,0,11.574677419354838,55.35714285714286,4
Drug Manufacturers - Specialty & Generic,25.437346938775512,38.89836734693878,36.07285714285714,42.62244897959184,39.020816326530614,49,1,16,0,32.167857142857144,91.07142857142857,5
Technology,41.041666666666664,56.67666666666667,30.088333333333335,49.935,39.02,6,0,1,0,48.85916666666667,98.21428571428571,6
Diagnostics & Research,23.531666666666666,27.298333333333332,41.721666666666664,34.788333333333334,38.60166666666667,6,0,0,0,25.415,83.92857142857143,7
Textile Manufacturing,23.79076923076923,48.48076923076923,39.18076923076923,35.61307692307692,37.576153846153844,13,0,1,0,36.13576923076923,94.64285714285714,8
Electronic Components,21.705714285714286,59.1,38.06857142857143,35.067142857142855,36.71857142857143,7,0,1,0,40.402857142857144,96.42857142857143,9
Metal Fabrication,17.11769230769231,50.54538461538462,32.11769230769231,42.08461538461539,36.604615384615386,13,0,3,0,33.831538461538464,92.85714285714286,10
Credit Services,9.588333333333333,16.044333333333334,29.805,44.368,36.35933333333333,30,0,11,0,12.816333333333333,60.71428571428571,11
Luxury Goods,19.916,35.044,32.227999999999994,40.936,36.146,10,0,2,0,27.479999999999997,87.5,12
Auto Parts,7.56469387755102,18.45265306122449,29.419183673469387,42.62612244897959,35.36244897959184,49,0,13,0,13.008673469387755,62.5,13
Asset Management,4.697333333333334,17.851999999999997,28.790666666666667,42.684666666666665,35.04266666666667,15,0,2,0,11.274666666666665,51.78571428571429,14
Insurance - Life,1.7650000000000003,6.796250000000001,31.07125,38.94,34.6125,8,0,1,0,4.280625000000001,19.642857142857142,15
Industrials,3.0921739130434784,10.368695652173914,27.96,42.03565217391304,34.29347826086956,23,0,4,0,6.730434782608696,35.714285714285715,16
Solar,8.674000000000001,33.132,28.046000000000003,39.38,33.146,5,0,1,0,20.903,76.78571428571429,17
Specialty Industrial Machinery,16.005277777777778,41.17916666666667,29.27,36.596111111111114,32.56722222222223,36,0,4,0,28.592222222222222,89.28571428571429,18
Drug Manufacturers - General,13.465714285714284,28.734285714285715,25.919999999999998,38.65714285714286,31.65285714285714,7,0,0,0,21.1,78.57142857142857,19
Electrical Equipment & Parts,11.7596,41.9956,28.3048,35.37,31.484,25,0,2,0,26.8776,85.71428571428571,20
Utilities - Renewable,2.71125,24.14125,26.755,37.06,31.39125,8,0,1,0,13.42625,64.28571428571429,21
Apparel Manufacturing,-0.4440000000000003,13.088,23.351,40.988,31.288,10,0,3,0,6.321999999999999,32.142857142857146,22
Specialty Chemicals,16.327843137254902,27.800980392156863,27.60392156862745,35.41862745098039,31.120980392156863,51,0,8,0,22.06441176470588,80.35714285714286,23
Farm & Heavy Construction Machinery,0.7799999999999999,4.471666666666667,15.763333333333334,45.84833333333333,29.30333333333333,6,0,2,0,2.6258333333333335,12.5,24
Household & Personal Products,10.57,27.31833333333333,24.465833333333336,33.0825,28.343333333333334,12,0,1,0,18.944166666666668,73.21428571428571,25
Lodging,3.6655555555555557,3.651111111111111,20.64,37.32333333333333,28.14888888888889,9,0,0,0,3.658333333333333,16.071428571428573,26
Aerospace & Defense,9.128333333333334,35.02,24.30333333333333,32.406666666666666,27.950833333333332,12,0,1,0,22.07416666666667,82.14285714285714,27
Real Estate,8.286153846153846,7.786538461538461,19.038846153846155,37.318461538461534,27.26576923076923,26,0,4,0,8.036346153846154,39.285714285714285,28
Consumer Cyclical,4.680512820512821,6.519230769230769,18.547948717948717,37.24794871794872,26.963846153846152,39,0,4,0,5.599871794871795,26.785714285714285,29
Capital Markets,2.1360000000000006,10.001999999999999,17.796,37.964999999999996,26.873,10,0,1,0,6.069,28.57142857142857,30
Communication Services,6.680000000000001,13.201333333333334,19.662666666666667,35.63333333333333,26.851333333333333,15,0,2,0,9.940666666666667,44.642857142857146,31
Building Products & Equipment,2.810909090909091,19.777272727272727,25.728181818181817,27.939999999999998,26.724545454545456,11,0,0,0,11.29409090909091,53.57142857142857,32
Oil & Gas Refining & Marketing,5.738888888888889,15.335555555555553,15.726666666666667,39.84888888888889,26.58111111111111,9,0,1,0,10.537222222222221,50.0,33
Marine Shipping,6.994285714285715,33.40857142857143,29.048571428571428,22.50142857142857,26.104285714285712,7,0,0,0,20.201428571428572,75.0,34
Conglomerates,2.397777777777778,11.31388888888889,20.77,31.866111111111113,25.76388888888889,18,0,2,0,6.855833333333334,37.5,35
Financial Services,-0.13230769230769232,12.337692307692306,19.34846153846154,33.604615384615386,25.763076923076923,13,0,1,0,6.1026923076923065,30.357142857142854,36
Auto Manufacturers,-4.364545454545455,1.139090909090909,14.005454545454546,38.556363636363635,25.05363636363636,11,0,0,0,-1.6127272727272732,5.357142857142857,37
Biotechnology,20.66142857142857,11.141428571428571,13.867142857142856,38.32285714285714,24.872857142857146,7,0,1,0,15.901428571428571,69.64285714285714,38
Telecom Services,2.208571428571429,1.6014285714285716,15.072857142857144,36.55428571428571,24.74142857142857,7,0,0,0,1.9050000000000002,10.714285714285714,39
"Furnishings, Fixtures & Appliances",6.247058823529412,11.664117647058823,19.95058823529412,30.381764705882354,24.644117647058824,17,0,2,0,8.955588235294117,41.07142857142857,40
Healthcare,4.275,5.2125,14.07875,36.64375,24.2325,8,0,1,0,4.74375,23.214285714285715,41
Real Estate Services,-0.56,-1.07,14.62,35.8,24.15,1,0,0,0,-0.8150000000000001,8.928571428571429,42
Software - Application,17.633333333333333,19.709166666666665,19.4475,29.159166666666664,23.8175,12,0,0,0,18.67125,71.42857142857143,43
Packaged Foods,-1.0091666666666665,9.913333333333334,21.035416666666666,26.783749999999998,23.6225,24,0,2,0,4.452083333333333,21.428571428571427,44
Steel,2.962162162162162,25.646756756756755,23.184864864864867,24.154594594594595,23.620810810810813,37,0,3,0,14.304459459459459,66.07142857142857,45
Consumer Defensive,-0.2347058823529411,13.33235294117647,22.571176470588235,23.635882352941177,23.050588235294118,17,0,2,0,6.548823529411765,33.92857142857143,46
Software - Infrastructure,10.32,-3.976666666666667,15.836666666666666,30.665000000000003,22.511666666666667,6,0,0,0,3.171666666666667,14.285714285714285,47
Agricultural Inputs,-0.4850000000000003,11.094,18.5275,26.357499999999998,22.0515,20,0,1,0,5.304499999999999,25.0,48
Utilities,-0.7486666666666667,21.499333333333333,19.900666666666666,23.683333333333334,21.603333333333335,15,0,0,0,10.375333333333334,48.214285714285715,49
Basic Materials,-8.086428571428572,6.1971428571428575,14.468571428571428,30.304285714285715,21.59357142857143,14,0,0,0,-0.9446428571428571,7.142857142857142,50
Chemicals,5.7321428571428585,17.517142857142858,19.99642857142857,23.197142857142858,21.43857142857143,14,0,1,0,11.624642857142858,57.14285714285714,51
Engineering & Construction,4.486,13.806857142857142,15.467714285714285,27.70485714285714,20.974857142857143,35,0,2,0,9.14642857142857,42.857142857142854,52
Building Materials,-4.541875,-2.4699999999999998,12.985624999999999,30.396874999999998,20.82,16,0,0,0,-3.5059375,1.7857142857142856,53
Information Technology Services,-1.185,-5.506666666666668,12.315416666666666,28.477499999999996,19.588333333333335,24,0,1,0,-3.345833333333334,3.571428571428571,54
Energy,2.7350000000000003,22.84125,13.98875,21.25125,17.2575,8,0,0,0,12.788124999999999,58.92857142857143,55
Tools & Accessories,-3.162,11.28,8.697999999999999,22.398,14.862,5,0,0,0,4.058999999999999,17.857142857142858,56
