snapshot_date,ticker,Company Name,Industry,stage,current_rank,interesting_priority,daily_setup_bucket,weekly_setup_bucket,combined_bucket,final_combined_score,rs_3m_pct,rs_6m_pct,volume_dryup_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes
2026-05-17,MANINDS.NS,Man Industries (India) Limited,Steel,Stage 2,1,123.122,watchlist,weekly_breakout,watchlist,79.36,37.62,53.63,0.75,True,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-17,CUMMINSIND.NS,Cummins India Limited,Specialty Industrial Machinery,Stage 2,4,121.222,watchlist,weekly_breakout,watchlist,73.61,32.42,30.78,0.59,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-17,HIRECT.NS,Hind Rectifiers Limited,Electrical Equipment & Parts,Stage 2,3,115.696,watchlist,weekly_near_pivot,watchlist,74.73,43.45,26.01,0.69,True,True,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-17,GPIL.NS,Godawari Power And Ispat limited,Steel,Stage 2,5,113.826,watchlist,weekly_breakout,watchlist,72.88,20.33,14.82,0.74,True,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
2026-05-17,HEG.NS,HEG Limited,Electrical Equipment & Parts,Stage 2,29,113.06,watchlist,weekly_breakout,watchlist,64.05,26.9,27.17,0.56,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-17,JAYNECOIND.NS,Jayaswal Neco Industries Limited,Steel,Stage 2,9,112.684,watchlist,weekly_breakout,watchlist,72.17,38.74,48.5,0.8,True,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
2026-05-17,KTKBANK.NS,The Karnataka Bank Limited,Banks - Regional,Stage 2,27,109.596,forming_vcp,weekly_breakout,watchlist,64.23,28.56,44.25,0.49,True,True,"Stage 2, Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-17,HINDALCO.NS,Hindalco Industries Limited,Basic Materials,Stage 2,24,108.578,watchlist,weekly_near_pivot,watchlist,65.39,19.35,41.93,0.73,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-17,NATCOPHARM.NS,Natco Pharma Limited,Drug Manufacturers - Specialty & Generic,Stage 2,16,108.502,watchlist,weekly_breakout,watchlist,70.01,50.01,53.88,0.85,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong"
2026-05-17,COALINDIA.NS,Coal India Limited,Energy,Stage 2,7,107.292,watchlist,weekly_near_pivot,watchlist,72.71,19.48,28.72,0.8,True,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
