snapshot_date,ticker,Company Name,Industry,stage,current_rank,interesting_priority,daily_setup_bucket,weekly_setup_bucket,combined_bucket,final_combined_score,rs_3m_pct,rs_6m_pct,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes
2026-06-04,ADANIGREEN.NS,Adani Green Energy Limited,Utilities - Renewable,Stage 2,10,118.504,watchlist,weekly_breakout,watchlist,67.52,70.23,49.86,0.7,0.5,0.73,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-04,RATNAMANI.NS,Ratnamani Metals & Tubes Limited,Steel,Stage 2,22,114.712,watchlist,weekly_breakout,watchlist,63.56,17.67,21.6,0.46,0.69,0.55,True,True,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-04,STLTECH.NS,Sterlite Technologies Limited,Communication Equipment,Stage 2,23,114.31,watchlist,weekly_breakout,watchlist,62.8,297.34,538.0,0.39,1.35,0.7,True,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-04,NLCINDIA.NS,NLC India Limited,Utilities,Stage 2,11,114.094,forming_vcp,weekly_breakout,watchlist,66.72,42.85,52.9,0.69,0.35,0.87,True,True,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-04,AKUMS.NS,Akums Drugs and Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic,Stage 2,14,111.092,watchlist,weekly_near_pivot,watchlist,65.46,24.08,41.09,0.75,1.39,0.8,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-04,RPTECH.NS,Rashi Peripherals Limited,Technology,Stage 2,2,108.858,watchlist,weekly_near_pivot,watchlist,74.29,61.0,76.17,0.73,0.68,1.16,True,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
2026-06-04,SYRMA.NS,Syrma SGS Technology Limited,Electronic Components,Stage 2,19,108.556,watchlist,weekly_breakout,watchlist,64.03,72.34,64.31,0.78,0.88,1.24,True,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
2026-06-04,LAURUSLABS.NS,Laurus Labs Limited,Drug Manufacturers - Specialty & Generic,Stage 2,13,106.364,forming_vcp,weekly_breakout,watchlist,65.57,45.62,50.71,0.83,0.91,1.13,True,False,"Stage 2, Extended Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
2026-06-04,ELGIEQUIP.NS,Elgi Equipments Limited,Specialty Industrial Machinery,Stage 2,3,105.482,watchlist,weekly_breakout,watchlist,73.66,32.04,33.64,2.09,3.08,4.16,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-04,ARVIND.NS,Arvind Limited,Textile Manufacturing,Stage 2,4,105.192,watchlist,weekly_breakout,watchlist,73.46,54.41,57.44,0.85,0.93,1.42,False,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-04,AZAD.NS,Azad Engineering Limited,Specialty Industrial Machinery,Stage 2,12,104.656,watchlist,weekly_near_pivot,watchlist,65.78,41.54,43.61,0.72,1.56,0.96,True,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
2026-06-04,CUMMINSIND.NS,Cummins India Limited,Specialty Industrial Machinery,Stage 2,5,104.632,watchlist,weekly_breakout,watchlist,71.91,33.23,39.46,1.01,1.03,1.34,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-04,AIAENG.NS,AIA Engineering Limited,Specialty Industrial Machinery,Stage 2,8,103.112,watchlist,weekly_breakout,watchlist,68.06,29.94,29.68,2.6,1.16,1.82,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-04,KINGFA.NS,Kingfa Science & Technology (India) Limited,Specialty Chemicals,Stage 2,9,102.822,watchlist,weekly_breakout,watchlist,67.86,32.47,29.94,1.31,0.49,1.68,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-04,WELSPUNLIV.NS,Welspun Living Limited,Textile Manufacturing,Stage 2,18,102.808,watchlist,weekly_near_pivot,watchlist,64.04,27.78,16.47,0.82,0.34,1.25,True,False,"Stage 2, Early Stage 2, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
2026-06-04,WELENT.NS,Welspun Enterprises Limited,Engineering & Construction,Stage 2,20,102.28,watchlist,weekly_near_pivot,watchlist,63.9,26.13,13.93,0.82,1.97,1.14,True,False,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_strong"
