snapshot_date,ticker,Company Name,Industry,stage,current_rank,interesting_priority,daily_setup_bucket,weekly_setup_bucket,combined_bucket,final_combined_score,rs_3m_pct,rs_6m_pct,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes
2026-05-18,CUMMINSIND.NS,Cummins India Limited,Specialty Industrial Machinery,Stage 2,3,121.418,watchlist,weekly_breakout,watchlist,73.34,28.65,30.0,0.55,0.08,0.55,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-18,ADANIPOWER.NS,Adani Power Limited,Utilities,Stage 2,5,120.656,watchlist,weekly_breakout,watchlist,72.03,57.26,54.36,0.83,0.17,0.9,True,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-18,NATCOPHARM.NS,Natco Pharma Limited,Drug Manufacturers - Specialty & Generic,Stage 2,9,119.322,watchlist,weekly_breakout,watchlist,70.36,49.85,51.51,0.79,0.18,0.61,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-18,MANINDS.NS,Man Industries (India) Limited,Steel,Stage 2,1,116.68,watchlist,weekly_near_pivot,watchlist,77.15,36.63,50.31,0.75,0.19,0.83,True,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-18,COALINDIA.NS,Coal India Limited,Energy,Stage 2,2,115.692,watchlist,weekly_near_pivot,watchlist,73.46,21.9,31.48,0.76,0.09,0.65,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-18,AXISCADES.NS,AXISCADES Technologies Limited,Engineering & Construction,Stage 2,23,114.666,watchlist,weekly_breakout,watchlist,64.58,61.02,48.11,0.74,0.19,0.64,True,True,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-18,SANGAMIND.NS,Sangam (India) Limited,Textile Manufacturing,Stage 2,13,112.128,watchlist,weekly_near_pivot,watchlist,69.39,12.59,20.62,0.47,0.04,0.33,True,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-18,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Asset Management,Stage 2,19,110.008,watchlist,weekly_near_pivot,watchlist,66.29,24.53,41.94,0.8,0.2,0.51,True,True,"Stage 2, Messy Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-05-18,AZAD.NS,Azad Engineering Limited,Specialty Industrial Machinery,Stage 2,15,108.578,watchlist,weekly_breakout,watchlist,69.14,33.16,31.87,0.99,0.42,0.77,False,True,"Stage 2, Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong"
2026-05-18,NMDC.NS,NMDC Limited,Steel,Stage 2,4,108.116,watchlist,weekly_near_pivot,watchlist,73.08,17.61,26.91,0.8,0.17,1.09,True,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong"
