ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,overall_setup_label,final_combined_score,change_1d_pct,change_1w_pct,change_1m_pct,change_ytd_pct,last_close
COHANCE.NS,Cohance Lifesciences Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Not Sure,watchlist,18.16,12.97,5.87,5.28,-12.55,457.8
SHILPAMED.NS,Shilpa Medicare Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,56.66,7.88,7.01,15.43,87.16,591.15
POKARNA.NS,Pokarna Limited,Building Products & Equipment,Industrials,False,Cash,Not Sure,watchlist,51.92,7.0,19.91,27.52,29.73,1089.8
JUBLCPL.NS,Jubilant Agri and Consumer Products Limited,Specialty Chemicals,Basic Materials,False,Cash,Not Sure,watchlist,41.14,6.97,7.15,9.98,-11.27,2013.2
GENUSPOWER.NS,Genus Power Infrastructures Limited,Electrical Equipment & Parts,Industrials,False,Cash,Stage 2 Failed,watchlist,49.24,6.95,5.06,6.49,15.82,345.55
PPLPHARMA.NS,Piramal Pharma Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Not Sure,watchlist,25.13,6.55,3.19,-5.89,-0.58,168.89
NPST.NS,Network People Services Technologies Limited,Software - Application,Technology,False,Cash,Stage 1,watchlist,41.23,5.82,5.33,58.98,19.99,1639.4
GLAND.NS,Gland Pharma Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,64.87,5.1,5.48,-1.53,34.0,2298.2
NEULANDLAB.NS,Neuland Laboratories Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,59.6,5.1,8.25,8.02,20.2,18102.0
BASF.NS,BASF India Limited,Specialty Chemicals,Basic Materials,False,Cash,Stage 4,watchlist,26.96,4.84,8.2,6.57,-4.33,3745.8
AARTIPHARM.NS,Aarti Pharmalabs Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 4,watchlist,23.47,4.81,11.14,-2.98,-4.31,710.6
KIRLOSENG.NS,Kirloskar Oil Engines Limited,Specialty Industrial Machinery,Industrials,False,Cash,Stage 2,watchlist,46.47,4.8,30.54,47.08,103.89,2504.4
SBCL.NS,Shivalik Bimetal Controls Limited,Metal Fabrication,Industrials,False,Cash,Stage 2,watchlist,51.22,4.4,4.82,11.26,82.72,776.3
SANSERA.NS,Sansera Engineering Limited,Auto Parts,Consumer Cyclical,False,Cash,Stage 2,watchlist,38.34,4.32,9.93,7.41,76.75,3120.6
MARKSANS.NS,Marksans Pharma Limited,Drug Manufacturers - General,Healthcare,False,Cash,Stage 2,watchlist,50.1,3.87,7.63,20.76,47.87,265.98
THYROCARE.NS,Thyrocare Technologies Limited,Diagnostics & Research,Healthcare,False,Cash,Stage 2,watchlist,52.48,3.83,6.01,14.71,26.63,558.4
MAHLOG.NS,Mahindra Logistics Limited,Industrials,Industrials,False,Cash,Stage 2,watchlist,27.91,3.77,11.32,7.51,20.04,383.6
SUPRIYA.NS,Supriya Lifescience Limited,Biotechnology,Healthcare,False,Cash,Stage 2,watchlist,54.38,3.6,1.47,25.41,29.7,960.85
ALIVUS.NS,Alivus Life Sciences Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,68.65,3.51,7.09,6.59,23.28,1118.9
RESPONIND.NS,Responsive Industries Limited,Specialty Chemicals,Basic Materials,False,Cash,Stage 1,watchlist,26.67,3.39,14.15,15.67,1.19,201.85
ORCHPHARMA.NS,Orchid Pharma Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,40.9,3.29,-5.58,38.34,24.77,989.65
ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Limited,Auto Parts,Consumer Cyclical,False,Cash,Stage 2,watchlist,43.29,3.17,8.1,7.29,9.21,16086.0
AVANTIFEED.NS,Avanti Feeds Limited,Packaged Foods,Consumer Defensive,False,Cash,Stage 2 Failed,watchlist,10.18,3.15,-1.44,-26.75,12.29,986.5
LAURUSLABS.NS,Laurus Labs Limited,Drug Manufacturers - Specialty & Generic,Healthcare,True,F&O,Stage 2,watchlist,86.88,3.14,7.6,9.19,33.51,1481.0
APARINDS.NS,Apar Industries Limited,Electrical Equipment & Parts,Industrials,False,Cash,Stage 2,watchlist,60.66,2.98,3.01,33.45,99.99,16654.0
DEEDEV.NS,DEE Development Engineers Limited,Metal Fabrication,Industrials,False,Cash,Stage 2,watchlist,45.38,2.98,-3.68,26.79,233.78,697.3
BALUFORGE.NS,Balu Forge Industries Limited,Metal Fabrication,Industrials,False,Cash,Stage 4,watchlist,37.79,2.85,4.39,0.97,-21.47,471.25
AUROPHARMA.NS,Aurobindo Pharma Limited,Drug Manufacturers - Specialty & Generic,Healthcare,True,F&O,Stage 2,watchlist,47.74,2.84,9.84,5.47,28.6,1534.2
SYRMA.NS,Syrma SGS Technology Limited,Electronic Components,Technology,False,Cash,Stage 2,watchlist,66.1,2.75,5.67,29.87,90.85,1373.0
NAUKRI.NS,Info Edge (India) Limited,Communication Services,Communication Services,True,F&O,Stage 4,watchlist,30.9,2.75,1.4,7.79,-24.39,1011.6
GUFICBIO.NS,Gufic Biosciences Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,50.77,2.73,0.07,13.91,8.45,370.25
OPTIEMUS.NS,Optiemus Infracom Limited,Technology,Technology,False,Cash,Stage 1,watchlist,35.86,2.7,5.72,5.7,-7.93,453.95
BANSALWIRE.NS,Bansal Wire Industries Limited,Steel,Basic Materials,False,Cash,Stage 1,watchlist,35.52,2.65,4.33,-0.84,4.08,317.85
OLAELEC.NS,Ola Electric Mobility Limited,Auto Manufacturers,Consumer Cyclical,False,Cash,Stage 1,watchlist,39.27,2.61,1.3,15.15,16.28,43.63
TFCILTD.NS,Tourism Finance Corporation of India Limited,Credit Services,Financial Services,False,Cash,Stage 2,watchlist,28.23,2.58,0.59,4.39,10.54,76.33
JSWINFRA.NS,JSW Infrastructure Limited,Marine Shipping,Industrials,False,Cash,Stage 2,watchlist,60.4,2.57,7.52,13.78,11.53,314.95
BBOX.NS,Black Box Limited,Software - Application,Technology,False,Cash,Stage 2,watchlist,43.91,2.57,-0.93,3.18,84.11,1007.2
ARVIND.NS,Arvind Limited,Textile Manufacturing,Consumer Cyclical,False,Cash,Stage 2,watchlist,80.6,2.56,5.07,8.15,63.67,521.55
CARTRADE.NS,Cartrade Tech Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,Stage 1,watchlist,3.3,2.55,10.61,47.39,-6.81,2636.8
SHAKTIPUMP.NS,Shakti Pumps (India) Limited,Specialty Industrial Machinery,Industrials,False,Cash,Stage 4,watchlist,31.88,2.47,3.47,11.01,-23.24,567.45
ZYDUSLIFE.NS,Zydus Lifesciences Limited,Drug Manufacturers - Specialty & Generic,Healthcare,True,F&O,Stage 2,watchlist,56.01,2.46,3.11,3.66,21.55,1112.2
KAJARIACER.NS,Kajaria Ceramics Limited,Building Products & Equipment,Industrials,False,Cash,Stage 1,watchlist,26.44,2.34,4.74,11.5,23.91,1193.1
SWSOLAR.NS,Sterling and Wilson Renewable Energy Limited,Solar,Technology,False,Cash,Stage 1,watchlist,41.21,2.33,16.06,26.15,15.61,248.57
HUBTOWN.NS,Hubtown Limited,Real Estate,Real Estate,False,Cash,Stage 4,watchlist,16.25,2.33,1.53,-1.49,-19.85,205.5
BHARATFORG.NS,Bharat Forge Limited,Auto Parts,Consumer Cyclical,True,F&O,Stage 2,watchlist,50.37,2.31,6.96,12.2,47.14,2152.3
VSSL.NS,Vardhman Special Steels Limited,Steel,Basic Materials,False,Cash,Stage 2,watchlist,47.56,2.3,0.85,4.6,0.26,286.3
RELAXO.NS,Relaxo Footwears Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,Stage 1,watchlist,35.2,2.29,3.86,21.97,-9.5,364.4
RELIGARE.NS,Religare Enterprises Limited,Insurance - Life,Financial Services,False,Cash,Stage 1,watchlist,16.8,2.29,10.51,14.79,9.57,271.6
FDC.NS,FDC Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 1,watchlist,31.36,2.13,7.25,11.57,-0.36,412.1
SEAMECLTD.NS,Seamec Limited,Marine Shipping,Industrials,False,Cash,Stage 2,watchlist,29.13,2.13,-11.38,-14.46,27.61,1395.8
QUESS.NS,Quess Corp Limited,Industrials,Industrials,False,Cash,Stage 2,watchlist,41.73,2.1,0.5,21.76,24.97,251.05
SETL.NS,Standard Engineering Technology Limited,Specialty Industrial Machinery,Industrials,False,Cash,Stage 1,watchlist,37.5,2.1,20.11,50.78,37.84,206.58
TDPOWERSYS.NS,TD Power Systems Limited,Specialty Industrial Machinery,Industrials,False,Cash,Stage 2,watchlist,67.94,2.08,15.78,4.02,100.98,1354.1
PDSL.NS,PDS Limited,Industrials,Industrials,False,Cash,Stage 1,watchlist,31.74,2.06,5.59,18.33,-5.16,354.4
SANOFI.NS,Sanofi India Limited,Drug Manufacturers - General,Healthcare,False,Cash,Stage 4,watchlist,33.91,2.0,3.22,7.17,-15.65,3410.2
JASH.NS,Jash Engineering Limited,Specialty Industrial Machinery,Industrials,False,Cash,Not Sure,watchlist,68.82,1.97,11.2,39.55,28.79,559.8
JISLJALEQS.NS,Jain Irrigation Systems Limited,Conglomerates,Industrials,False,Cash,Not Sure,watchlist,38.92,1.93,11.01,17.33,-14.36,35.89
IONEXCHANG.NS,ION Exchange (India) Limited,Industrials,Industrials,False,Cash,Stage 1,watchlist,31.75,1.82,8.95,-2.53,6.53,397.95
CARRARO.NS,Carraro India Limited,Auto Parts,Consumer Cyclical,False,Cash,Stage 2,watchlist,53.26,1.8,10.43,-2.46,13.0,591.85
AVALON.NS,Avalon Technologies Limited,Electronic Components,Technology,False,Cash,Stage 2,watchlist,59.41,1.78,0.89,16.05,98.74,1753.7
IOLCP.NS,IOL Chemicals and Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,70.75,1.77,5.56,7.31,64.12,133.07
MARINE.NS,Marine Electricals (India) Limited,Electrical Equipment & Parts,Industrials,False,Cash,Stage 2,watchlist,58.92,1.76,5.01,15.39,29.75,274.65
IPCALAB.NS,IPCA Laboratories Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,52.74,1.73,4.83,3.44,16.22,1625.0
ERIS.NS,Eris Lifesciences Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 1,watchlist,44.16,1.7,6.14,8.52,-2.17,1461.0
JUBLPHARMA.NS,Jubilant Pharmova Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Not Sure,watchlist,30.91,1.68,-0.77,-3.45,-8.09,972.5
PAGEIND.NS,Page Industries Limited,Apparel Manufacturing,Consumer Cyclical,True,F&O,Stage 1,watchlist,33.48,1.67,2.33,4.12,13.0,39975.0
JAIBALAJI.NS,Jai Balaji Industries Limited,Steel,Basic Materials,False,Cash,Stage 4,watchlist,28.24,1.65,6.98,-0.48,2.05,72.54
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Asset Management,Financial Services,False,Cash,Stage 2,watchlist,41.18,1.58,7.0,17.99,42.16,1199.0
SMSPHARMA.NS,SMS Pharmaceuticals Limited,Drug Manufacturers - General,Healthcare,False,Cash,Stage 2 Failed,watchlist,12.96,1.55,1.04,3.02,21.33,380.3
POLYPLEX.NS,Polyplex Corporation Limited,Specialty Chemicals,Basic Materials,False,Cash,Stage 2,watchlist,56.44,1.54,4.15,5.91,15.64,967.55
KINGFA.NS,Kingfa Science & Technology (India) Limited,Specialty Chemicals,Basic Materials,False,Cash,Stage 2,watchlist,50.66,1.53,1.35,-2.19,16.55,5156.0
DMART.NS,Avenue Supermarts Limited,Consumer Defensive,Consumer Defensive,True,F&O,Stage 1,watchlist,24.39,1.44,4.56,7.22,18.21,4392.9
EMCURE.NS,Emcure Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,Stage 2,watchlist,56.18,1.43,4.7,4.5,29.59,1816.6
