ticker,Company Name,Industry,sector,is_fo_stock,fo_category,Include,stage,stage_raw,stage_variant,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,stage_pending_raw,daily_setup_bucket,weekly_setup_bucket,combined_bucket,daily_score,weekly_score,combined_score,industry_boost,final_daily_score,final_weekly_score,final_combined_score,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,current_rank,prev_rank,prev_stage,prev_daily_setup_bucket,prev_weekly_setup_bucket,prev_score,rank_change,combined_score_change,new_daily_breakout,new_weekly_breakout,entered_stage_2,new_top_10,new_top_20
ALKEM.NS,Alkem Laboratories Limited,Drug Manufacturers - Specialty & Generic,Healthcare,True,F&O,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-29,,watchlist,weekly_breakout,watchlist,69.57,66.99,68.41,10.0,69.57,66.99,78.41,6.32,5.55,869143957.85,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",8,35,Stage 2,watchlist,weekly_near_pivot,70.31,27,8.099999999999994,False,True,False,True,True
NAZARA.NS,Nazara Technologies Limited,Communication Services,Communication Services,False,Cash,1,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-07-29,,watchlist,weekly_near_pivot,watchlist,75.12,68.2,72.01,5.0,75.12,68.2,77.01,14.59,9.36,648695544.57,"Stage 2, Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",9,32,Stage 2,watchlist,weekly_near_pivot,70.95,23,6.060000000000002,False,False,False,True,True
NYKAA.NS,FSN E-Commerce Ventures Limited,Consumer Cyclical,Consumer Cyclical,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-29,,near_pivot,weekly_breakout,watchlist,88.48,64.35,77.62,2.0,88.48,64.35,79.62,22.28,43.21,1987004881.96,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",7,27,Stage 2,forming_vcp,weekly_breakout,71.97,20,7.650000000000006,False,False,False,True,True
FIEMIND.NS,Fiem Industries Limited,Auto Parts,Consumer Cyclical,False,Cash,1,Stage 2,Stage 2,Stage 2,0.76,Advancing structure detected.,,,2026-07-29,,watchlist,weekly_near_pivot,watchlist,79.41,69.41,74.91,5.0,79.41,69.41,79.91,5.97,19.1,89740159.67,"Stage 2, Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong",6,23,Stage 2,watchlist,weekly_near_pivot,72.89,17,7.019999999999996,False,False,False,True,True
EICHERMOT.NS,Eicher Motors Limited,Auto Manufacturers,Consumer Cyclical,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-29,,breakout_today,weekly_breakout,high_conviction_breakout,81.45,68.01,75.4,5.0,81.45,68.01,80.4,7.04,15.05,4218516771.12,"Stage 2, Clean Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, daily_breakout_volume, weekly_strong",2,16,Stage 2,forming_vcp,weekly_breakout,73.7,14,6.700000000000003,True,False,False,True,False
MINDACORP.NS,Minda Corporation Limited,Auto Parts,Consumer Cyclical,False,Cash,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-29,,watchlist,weekly_near_pivot,watchlist,70.52,72.56,71.44,5.0,70.52,72.56,76.44,34.49,33.15,171016943.43,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",13,33,Stage 2,watchlist,weekly_near_pivot,70.71,20,5.730000000000004,False,False,False,False,True
SONACOMS.NS,Sona BLW Precision Forgings Limited,Auto Parts,Consumer Cyclical,True,F&O,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-29,,watchlist,weekly_breakout,watchlist,74.7,65.8,70.7,5.0,74.7,65.8,75.7,31.22,58.46,2111521175.76,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",15,24,Stage 2,watchlist,weekly_breakout,72.77,9,2.930000000000007,False,False,False,False,True
RAINBOW.NS,Rainbow Childrens Medicare Limited,Medical Care Facilities,Healthcare,False,Cash,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-29,,watchlist,weekly_breakout,watchlist,47.71,70.94,58.16,5.0,47.71,70.94,63.16,19.85,31.59,114844536.03,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",89,180,Stage 2,watchlist,weekly_near_pivot,56.43,91,6.729999999999997,False,True,False,False,False
MAXHEALTH.NS,Max Healthcare Institute Limited,Medical Care Facilities,Healthcare,True,F&O,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-29,,watchlist,weekly_breakout,watchlist,55.75,70.15,62.23,5.0,55.75,70.15,67.23,11.3,21.21,1844838254.79,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",54,78,Stage 2,watchlist,weekly_near_pivot,66.17,24,1.0600000000000023,False,True,False,False,False
RPTECH.NS,Rashi Peripherals Limited,Technology,Technology,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-29,,watchlist,weekly_breakout,watchlist,57.08,70.6,63.16,10.0,57.08,70.6,73.16,60.52,129.35,418973128.83,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",23,26,Stage 2,watchlist,weekly_near_pivot,72.02,3,1.1400000000000006,False,True,False,False,False
REDINGTON.NS,Redington Limited,Information Technology Services,Technology,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-29,,watchlist,weekly_breakout,watchlist,37.62,63.78,49.39,0.0,37.62,63.78,49.39,44.01,23.82,1489973670.33,"Stage 2, Extended Stage 2, weekly_vcp_ok, weekly_strong",250,248,Stage 2,watchlist,weekly_near_pivot,51.19,-2,-1.7999999999999972,False,True,False,False,False
PRUDENT.NS,Prudent Corporate Advisory Services Limited,Asset Management,Financial Services,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-29,,watchlist,weekly_breakout,watchlist,74.7,71.26,73.15,2.0,74.7,71.26,75.15,9.88,44.68,109702419.18,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",19,5,Stage 2,watchlist,weekly_near_pivot,77.47,-14,-2.319999999999993,False,True,False,False,False
BLUEJET.NS,Blue Jet Healthcare Limited,Biotechnology,Healthcare,False,Cash,1,Not Sure,Stage 2,Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,weekly_watchlist,watchlist,42.27,41.25,41.81,5.0,42.27,41.25,46.81,23.49,49.04,580476040.11,"Stage 2, Early Stage 2, volume_dryup | Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.",280,706,Stage 1,watchlist,weekly_watchlist,24.93,426,21.880000000000003,False,False,False,False,False
GOKULAGRO.NS,Gokul Agro Resources Limited,Packaged Foods,Consumer Defensive,False,Cash,1,Stage 2 Failed,Stage 2,Failed Stage 2,0.7,Failed Stage 2 cooling period is still active; waiting for a fresh base or confirmed reclaim.,Failed Stage 2 hold period active.,,2026-07-10,,watchlist,weekly_watchlist,watchlist,47.3,26.98,38.16,0.0,47.3,26.98,38.16,-5.03,46.8,115114051.38,"Stage 2, Stage 2 | Failed Stage 2 hold period active.",428,828,Stage 2 Failed,watchlist,weekly_watchlist,15.42,400,22.739999999999995,False,False,False,False,False
MRPL.NS,Mangalore Refinery and Petrochemicals Limited,Oil & Gas Refining & Marketing,Energy,False,Cash,1,Not Sure,Stage 2,Pending Stage 2,0.55,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.,,,Stage 2,watchlist,weekly_forming,watchlist,46.92,59.4,52.54,5.0,46.92,59.4,57.54,5.8,-0.8,4151842469.82,"Stage 2, Early Stage 2, weekly_vcp_ok, weekly_strong | Stage 2 pending confirmation: needs 3 raw Stage 2 runs; current count 1.",147,489,Stage 1,watchlist,weekly_watchlist,35.76,342,21.78,False,False,False,False,False
LTFOODS.NS,LT Foods Limited,Packaged Foods,Consumer Defensive,False,Cash,1,Not Sure,Not Sure,Not Sure,0.0,Stage rules did not identify a reliable structure.,No confident stage classification.,,,,watchlist,weekly_watchlist,watchlist,41.62,47.42,44.23,0.0,41.62,47.42,44.23,-8.03,13.26,305015663.92,"Not Sure, Not Sure, weekly_vcp_ok, weekly_strong",315,584,Stage 4,watchlist,weekly_watchlist,31.46,269,12.769999999999996,False,False,False,False,False
BALKRISIND.NS,Balkrishna Industries Limited,Auto Parts,Consumer Cyclical,False,Cash,1,Not Sure,Not Sure,Not Sure,0.0,Stage rules did not identify a reliable structure.,No confident stage classification.,,,,watchlist,weekly_watchlist,watchlist,40.61,10.81,27.2,5.0,40.61,10.81,32.2,5.08,-1.02,832247461.21,"Not Sure, Not Sure",545,796,Stage 4,watchlist,weekly_watchlist,17.84,251,14.360000000000003,False,False,False,False,False
MARUTI.NS,Maruti Suzuki India Limited,Auto Manufacturers,Consumer Cyclical,True,F&O,1,Not Sure,Stage 1,Pending Stage 1,0.55,Blocked public stage jump Stage 4 -> Stage 1; waiting for intermediate/confirmed structure.,Blocked public stage jump Stage 4 -> Stage 1; waiting for intermediate/confirmed structure.,,,Stage 1,watchlist,weekly_watchlist,watchlist,16.57,50.31,31.75,5.0,16.57,50.31,36.75,4.34,0.76,5643122122.05,"Stage 1, Stage 1 - Early Turn, weekly_vcp_ok, volume_dryup, weekly_strong, stage1_not_actionable, stage1_needs_more_base | Blocked public stage jump Stage 4 -> Stage 1; waiting for intermediate/confirmed structure.",455,690,Stage 4,watchlist,weekly_watchlist,26.23,235,10.52,False,False,False,False,False
PFIZER.NS,Pfizer Limited,Drug Manufacturers - General,Healthcare,False,Cash,1,Not Sure,Not Sure,Not Sure,0.0,Stage rules did not identify a reliable structure.,No confident stage classification.,,,,watchlist,weekly_watchlist,watchlist,31.88,51.06,40.51,10.0,31.88,51.06,50.51,2.53,6.76,145753950.72,"Not Sure, Not Sure, weekly_vcp_ok, weekly_strong",240,468,Stage 4,watchlist,weekly_watchlist,36.86,228,13.649999999999999,False,False,False,False,False
SAGILITY.NS,SAGILITY LIMITED,Healthcare,Healthcare,False,Cash,1,Not Sure,Not Sure,Not Sure,0.0,Stage rules did not identify a reliable structure.,No confident stage classification.,,,,watchlist,weekly_watchlist,watchlist,19.51,54.4,35.21,0.0,19.51,54.4,35.21,9.76,-3.8,1359216057.4,"Not Sure, Not Sure, weekly_vcp_ok, weekly_strong",493,717,Stage 4,watchlist,weekly_watchlist,23.9,224,11.310000000000002,False,False,False,False,False
HYUNDAI.NS,Hyundai Motor India Limited,Auto Manufacturers,Consumer Cyclical,True,F&O,1,Not Sure,Stage 1,Pending Stage 1,0.55,Blocked public stage jump Stage 4 -> Stage 1; waiting for intermediate/confirmed structure.,Blocked public stage jump Stage 4 -> Stage 1; waiting for intermediate/confirmed structure.,,,Stage 1,watchlist,weekly_watchlist,watchlist,42.67,13.02,29.33,5.0,42.67,13.02,34.33,9.41,-3.21,1292275000.73,"Stage 1, Stage 1 - Early Turn, daily_vcp_ok, volume_dryup, weekly_volume_dryup, stage1_needs_more_base | Blocked public stage jump Stage 4 -> Stage 1; waiting for intermediate/confirmed structure.",507,720,Stage 4,watchlist,weekly_watchlist,23.75,213,10.579999999999998,False,False,False,False,False
CEMPRO.NS,Cemindia Projects Limited,Engineering & Construction,Industrials,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-29,,watchlist,weekly_watchlist,watchlist,46.86,34.0,41.07,0.0,46.86,34.0,41.07,47.91,117.81,1101356755.16,"Stage 2, Extended Stage 2, trend_template_ok",379,592,Stage 2,watchlist,weekly_watchlist,31.01,213,10.059999999999999,False,False,False,False,False
CUMMINSIND.NS,Cummins India Limited,Specialty Industrial Machinery,Industrials,True,F&O,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-29,,watchlist,weekly_forming,watchlist,52.01,61.81,56.42,10.0,52.01,61.81,66.42,2.1,38.01,2349740352.37,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",63,273,Stage 2,watchlist,weekly_watchlist,48.79,210,17.630000000000003,False,False,False,False,False
MAHLOG.NS,Mahindra Logistics Limited,Industrials,Industrials,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-29,,watchlist,weekly_watchlist,watchlist,56.0,30.4,44.48,0.0,56.0,30.4,44.48,1.46,20.54,219682518.61,"Stage 2, Clean Stage 2, trend_template_ok",312,505,Stage 2,watchlist,weekly_watchlist,34.88,193,9.599999999999994,False,False,False,False,False
NACLIND.NS,NACL Industries Limited,Agricultural Inputs,Basic Materials,False,Cash,1,Stage 2 Failed,Not Sure,Failed Stage 2,0.72,"This stock was recently Stage 2, but the latest structure no longer satisfies Stage 2 rules. It is kept as Stage 2 Failed until a fresh base/repair structure forms.",Recent Stage 2 break; public stage held as Stage 2 Failed.,2026-07-30,2026-07-13,,watchlist,weekly_watchlist,watchlist,17.97,57.6,35.8,2.0,17.97,57.6,37.8,11.39,26.64,467018879.09,"Not Sure, Not Sure, weekly_vcp_ok, weekly_volume_dryup, weekly_strong | Stage 2 failed state applied from stage memory.",434,617,Stage 2 Failed,watchlist,weekly_watchlist,30.03,183,7.769999999999996,False,False,False,False,False
ADANIENT.NS,Adani Enterprises Limited,Energy,Energy,True,F&O,1,Stage 2,Stage 2,Messy Stage 2,0.64,"Long-term structure is still constructive, but the short-term/weekly structure is not clean.",,,2026-07-29,,watchlist,weekly_watchlist,watchlist,58.12,36.06,48.19,2.0,58.12,36.06,50.19,22.57,53.99,4848071947.03,"Stage 2, Messy Stage 2, trend_template_ok, volume_dryup, weekly_volume_dryup",243,407,Stage 2,watchlist,weekly_watchlist,40.32,164,9.869999999999997,False,False,False,False,False
HEROMOTOCO.NS,Hero MotoCorp Limited,Auto Manufacturers,Consumer Cyclical,True,F&O,1,Not Sure,Stage 1,Pending Stage 1,0.55,Blocked public stage jump Stage 4 -> Stage 1; waiting for intermediate/confirmed structure.,Blocked public stage jump Stage 4 -> Stage 1; waiting for intermediate/confirmed structure.,,,Stage 1,watchlist,weekly_watchlist,watchlist,29.01,50.41,38.64,5.0,29.01,50.41,43.64,4.43,1.64,3427735878.02,"Stage 1, Stage 1 - Unclear/Repair, weekly_vcp_ok, weekly_strong, stage1_not_actionable, stage1_needs_more_base | Blocked public stage jump Stage 4 -> Stage 1; waiting for intermediate/confirmed structure.",331,481,Stage 4,watchlist,weekly_watchlist,36.18,150,7.460000000000001,False,False,False,False,False
PETRONET.NS,Petronet LNG Limited,Oil & Gas Refining & Marketing,Energy,True,F&O,1,Stage 2 Failed,Stage 1,Failed Stage 2,0.72,"This stock was recently Stage 2, but the latest structure no longer satisfies Stage 2 rules. It is kept as Stage 2 Failed until a fresh base/repair structure forms.",Recent Stage 2 break; public stage held as Stage 2 Failed.,2026-07-30,2026-07-15,,watchlist,weekly_watchlist,watchlist,30.65,52.8,40.62,5.0,30.65,52.8,45.62,-1.48,-1.77,571342550.4,"Stage 1, Stage 1 - Base/Repair, stage1_base_ready, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong, stage1_not_actionable | Stage 2 failed state applied from stage memory.",295,428,Stage 2 Failed,watchlist,weekly_watchlist,38.98,133,6.640000000000001,False,False,False,False,False
EXIDEIND.NS,Exide Industries Limited,Auto Parts,Consumer Cyclical,True,F&O,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-29,,watchlist,weekly_watchlist,watchlist,72.1,32.93,54.47,5.0,72.1,32.93,59.47,24.62,44.69,2757920436.64,"Stage 2, Early Stage 2",123,252,Stage 2,watchlist,weekly_watchlist,50.9,129,8.57,False,False,False,False,False
ZEEL.NS,Zee Entertainment Enterprises Limited,Communication Services,Communication Services,False,Cash,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-29,,watchlist,weekly_near_pivot,watchlist,49.32,71.94,59.5,5.0,49.32,71.94,64.5,22.55,38.85,2096500729.82,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",77,205,Stage 2,watchlist,weekly_forming,53.96,128,10.54,False,False,False,False,False
QUESS.NS,Quess Corp Limited,Industrials,Industrials,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-29,,watchlist,weekly_watchlist,watchlist,69.75,36.4,54.74,0.0,69.75,36.4,54.74,39.15,59.5,139022877.22,"Stage 2, Extended Stage 2, trend_template_ok, volume_dryup, weekly_volume_dryup",181,305,Stage 2,watchlist,weekly_watchlist,46.49,124,8.25,False,False,False,False,False
AJANTPHARM.NS,Ajanta Pharma Limited,Drug Manufacturers - Specialty & Generic,Healthcare,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-29,,watchlist,weekly_watchlist,watchlist,65.05,29.57,49.08,10.0,65.05,29.57,59.08,17.26,30.44,370883339.49,"Stage 2, Clean Stage 2, trend_template_ok",128,242,Stage 2,watchlist,weekly_watchlist,51.66,114,7.420000000000002,False,False,False,False,False
WESTLIFE.NS,WESTLIFE FOODWORLD LIMITED,Consumer Cyclical,Consumer Cyclical,False,Cash,1,Stage 4,Stage 4,Stage 4 - Weak/Declining,0.72,Price is below long-term support with weak trend evidence.,,,,,watchlist,weekly_watchlist,watchlist,29.34,44.04,35.95,2.0,29.34,44.04,37.95,-1.36,3.78,120219081.2,"Stage 4, Stage 4 - Weak/Declining, weekly_vcp_ok, weekly_strong, downtrend",429,540,Stage 4,watchlist,weekly_watchlist,32.91,111,5.040000000000006,False,False,False,False,False
REDTAPE.NS,Redtape Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,1,Stage 2 Failed,Not Sure,Failed Stage 2,0.72,"This stock was recently Stage 2, but the latest structure no longer satisfies Stage 2 rules. It is kept as Stage 2 Failed until a fresh base/repair structure forms.",Recent Stage 2 break; public stage held as Stage 2 Failed.,2026-07-30,2026-07-13,,watchlist,weekly_watchlist,watchlist,18.51,34.15,25.55,2.0,18.51,34.15,27.55,5.1,15.35,50168655.27,"Not Sure, Not Sure, weekly_vcp_ok, volume_dryup, weekly_volume_dryup | Stage 2 failed state applied from stage memory.",660,761,Stage 2 Failed,watchlist,weekly_watchlist,20.36,101,7.190000000000001,False,False,False,False,False
KRISHANA.NS,Krishana Phoschem Limited,Agricultural Inputs,Basic Materials,False,Cash,1,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-07-29,,watchlist,weekly_watchlist,watchlist,56.38,28.4,43.79,2.0,56.38,28.4,45.79,40.79,92.19,288720736.1,"Stage 2, Extended Stage 2, trend_template_ok",292,388,Stage 2,watchlist,weekly_watchlist,41.06,96,4.729999999999997,False,False,False,False,False
RATEGAIN.NS,Rategain Travel Technologies Limited,Software - Application,Technology,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-29,,watchlist,weekly_watchlist,watchlist,54.88,34.0,45.48,5.0,54.88,34.0,50.48,46.87,58.43,333265696.61,"Stage 2, Clean Stage 2, trend_template_ok, volume_dryup, weekly_volume_dryup",241,336,Stage 2,watchlist,weekly_watchlist,44.18,95,6.299999999999997,False,False,False,False,False
SUMICHEM.NS,Sumitomo Chemical India Limited,Agricultural Inputs,Basic Materials,False,Cash,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-29,,watchlist,weekly_watchlist,watchlist,52.09,32.96,43.48,2.0,52.09,32.96,45.48,5.52,28.1,1224884660.47,"Stage 2, Early Stage 2, volume_dryup",296,391,Stage 2,watchlist,weekly_watchlist,40.88,95,4.599999999999994,False,False,False,False,False
PARADEEP.NS,Paradeep Phosphates Limited,Agricultural Inputs,Basic Materials,False,Cash,1,Stage 1,Stage 1,Stage 1 - Early Turn,0.66,The stock is improving from a repair/base area but has not confirmed a clean Stage 2 yet.,,,,,watchlist,weekly_watchlist,watchlist,31.2,53.96,41.44,2.0,31.2,53.96,43.44,23.12,18.47,2014059371.77,"Stage 1, Stage 1 - Early Turn, weekly_vcp_ok, weekly_strong, stage1_not_actionable, stage1_needs_more_base",338,431,Stage 1,watchlist,weekly_watchlist,38.84,93,4.599999999999994,False,False,False,False,False
RBLBANK.NS,RBL Bank Limited,Banks - Regional,Financial Services,True,F&O,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-29,,watchlist,weekly_watchlist,watchlist,88.38,40.48,66.83,2.0,88.38,40.48,68.83,12.21,30.55,2612122134.84,"Stage 2, Clean Stage 2, trend_template_ok",42,130,Stage 2,watchlist,weekly_watchlist,60.4,88,8.43,False,False,False,False,False
VMART.NS,V-Mart Retail Limited,Consumer Cyclical,Consumer Cyclical,False,Cash,1,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-07-29,,watchlist,weekly_near_pivot,watchlist,52.05,70.82,60.5,2.0,52.05,70.82,62.5,21.35,28.88,120645978.15,"Stage 2, Early Stage 2, weekly_vcp_ok, weekly_strong",98,186,Stage 2,watchlist,weekly_forming,56.14,88,6.359999999999999,False,False,False,False,False
M&M.NS,Mahindra & Mahindra Limited,Auto Manufacturers,Consumer Cyclical,True,F&O,1,Not Sure,Stage 1,Pending Stage 1,0.55,Blocked public stage jump Stage 4 -> Stage 1; waiting for intermediate/confirmed structure.,Blocked public stage jump Stage 4 -> Stage 1; waiting for intermediate/confirmed structure.,,,Stage 1,watchlist,weekly_watchlist,watchlist,28.95,50.1,38.47,5.0,28.95,50.1,43.47,2.01,0.96,7701269950.58,"Stage 1, Stage 1 - Early Turn, weekly_vcp_ok, weekly_strong, stage1_not_actionable, stage1_needs_more_base | Blocked public stage jump Stage 4 -> Stage 1; waiting for intermediate/confirmed structure.",335,423,Stage 4,watchlist,weekly_watchlist,39.33,88,4.140000000000001,False,False,False,False,False
CHENNPETRO.NS,Chennai Petroleum Corporation Limited,Oil & Gas Refining & Marketing,Energy,False,Cash,1,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-07-29,,watchlist,weekly_watchlist,watchlist,56.2,30.66,44.71,5.0,56.2,30.66,49.71,13.04,45.57,2447157760.84,"Stage 2, Clean Stage 2, trend_template_ok",246,332,Stage 2,watchlist,weekly_watchlist,44.34,86,5.369999999999997,False,False,False,False,False
