Company Name,Industry,Symbol,Series,ISIN Code,Ticker,sector,industry_group,is_fo_stock,fo_category,Include
Reliance Industries Limited,Oil & Gas Refining & Marketing,RELIANCE,EQ,,RELIANCE.NS,Energy,Energy,True,F&O,1
HDFC Bank Limited,Banks - Regional,HDFCBANK,EQ,,HDFCBANK.NS,Financial Services,Financial Services,True,F&O,1
Bharti Airtel Limited,Telecom Services,BHARTIARTL,EQ,,BHARTIARTL.NS,Communication Services,Communication Services,True,F&O,1
State Bank of India,Banks - Regional,SBIN,EQ,,SBIN.NS,Financial Services,Financial Services,True,F&O,1
ICICI Bank Limited,Banks - Regional,ICICIBANK,EQ,,ICICIBANK.NS,Financial Services,Financial Services,True,F&O,1
Tata Consultancy Services Limited,Information Technology Services,TCS,EQ,,TCS.NS,Technology,Technology,True,F&O,1
Bajaj Finance Limited,Credit Services,BAJFINANCE,EQ,,BAJFINANCE.NS,Financial Services,Financial Services,True,F&O,1
Larsen & Toubro Limited,Engineering & Construction,LT,EQ,,LT.NS,Industrials,Industrials,True,F&O,1
Hindustan Unilever Limited,Household & Personal Products,HINDUNILVR,EQ,,HINDUNILVR.NS,Consumer Defensive,Consumer Defensive,True,F&O,1
Life Insurance Corporation Of India,Insurance - Life,LICI,EQ,,LICI.NS,Financial Services,Financial Services,True,F&O,1
Infosys Limited,Information Technology Services,INFY,EQ,,INFY.NS,Technology,Technology,True,F&O,1
Sun Pharmaceutical Industries Limited,Drug Manufacturers - Specialty & Generic,SUNPHARMA,EQ,,SUNPHARMA.NS,Healthcare,Healthcare,True,F&O,1
Adani Power Limited,Utilities,ADANIPOWER,EQ,,ADANIPOWER.NS,Utilities,Utilities,True,F&O,1
Maruti Suzuki India Limited,Auto Manufacturers,MARUTI,EQ,,MARUTI.NS,Consumer Cyclical,Consumer Cyclical,True,F&O,1
Adani Ports and Special Economic Zone Limited,Marine Shipping,ADANIPORTS,EQ,,ADANIPORTS.NS,Industrials,Industrials,True,F&O,1
Titan Company Limited,Luxury Goods,TITAN,EQ,,TITAN.NS,Consumer Cyclical,Consumer Cyclical,True,F&O,1
Mahindra & Mahindra Limited,Auto Manufacturers,M&M,EQ,,M&M.NS,Consumer Cyclical,Consumer Cyclical,True,F&O,1
Axis Bank Limited,Banks - Regional,AXISBANK,EQ,,AXISBANK.NS,Financial Services,Financial Services,True,F&O,1
NTPC Limited,Utilities,NTPC,EQ,,NTPC.NS,Utilities,Utilities,True,F&O,1
ITC Limited,Consumer Defensive,ITC,EQ,,ITC.NS,Consumer Defensive,Consumer Defensive,True,F&O,1
Kotak Mahindra Bank Limited,Banks - Regional,KOTAKBANK,EQ,,KOTAKBANK.NS,Financial Services,Financial Services,True,F&O,1
