ticker,stock_name,why_trending
JSWSTEEL.NS,JSW Steel,Recent stocks-in-focus/news coverage
TATAMOTORS.NS,Tata Motors,Recent stocks-in-focus/news coverage
ADANIENT.NS,Adani Enterprises,Recent stocks-in-focus/news coverage
SEPC.NS,SEPC,Recent stocks-in-focus/news coverage
MUTHOOTFIN.NS,Muthoot Finance,Recent stocks-in-focus/news coverage
GESHIP.NS,Great Eastern Shipping,Recent stocks-in-focus/news coverage
WELENT.NS,Welspun Enterprises,Recent stocks-in-focus/news coverage
SFL.NS,Sheela Foam,Recent stocks-in-focus/news coverage
VOLTAS.NS,Voltas,Recent stocks-in-focus/news coverage
BHARTIARTL.NS,Bharti Airtel,Recent stocks-in-focus/news coverage
IRFC.NS,IRFC,Recent stocks-in-focus/news coverage
DLF.NS,DLF,Recent stocks-in-focus/news coverage
HAL.NS,Hindustan Aeronautics,Recent stocks-in-focus/news coverage
HUDCO.NS,HUDCO,Recent stocks-in-focus/news coverage
JIOFIN.NS,Jio Financial Services,Recent stocks-in-focus/news coverage
OIL.NS,Oil India,Recent stocks-in-focus/news coverage
TATAPOWER.NS,Tata Power,Recent earnings/news focus
JSWENERGY.NS,JSW Energy,Recent stocks-in-focus/news coverage
PERSISTENT.NS,Persistent Systems,Recent stocks-in-focus/news coverage
HFCL.NS,HFCL,Recent stocks-in-focus/news coverage
BHARATFORG.NS,Bharat Forge,Recent stocks-in-focus/news coverage
HGINFRA.NS,HG Infra Engineering,Recent stocks-in-focus/news coverage
INDHOTEL.NS,Indian Hotels,Recent stocks-in-focus/news coverage
ABB.NS,ABB India,Recent stocks-in-focus/news coverage
TATACONSUM.NS,Tata Consumer Products,Recent stocks-in-focus/news coverage
SWIGGY.NS,Swiggy,Recent stocks-in-focus/news coverage
BANKBARODA.NS,Bank of Baroda,Recent stocks-in-focus/news coverage
JSWINFRA.NS,JSW Infrastructure,Recent stocks-in-focus/news coverage
BLUEDART.NS,Blue Dart Express,Recent stocks-in-focus/news coverage
OBEROIRLTY.NS,Oberoi Realty,Recent stocks-in-focus/news coverage
